Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,0,0,0,0
5,2,2,0,0,0,0,0,0,0,0
6,2,2,0,0,0,0,0,0,0,0
7,3,3,0,0,0,0,0,0,0,0
8,3,3,0,0,0,0,0,0,0,0
9,4,4,0,0,0,0,0,0,0,0
10,4,4,0,0,0,0,0,0,0,0
11,4,5,0,0,0,0,0,0,0,0
12,5,5,0,0,0,0,0,0,0,0
13,5,5,0,0,0,0,0,0,0,0
14,6,5,0,0,0,0,0,0,0,0
