Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,1
2,0,1,0,0,0,0,0,0,2,2
3,1,1,0,0,0,0,0,0,3,3
4,2,2,0,0,0,0,0,0,4,4
5,2,3,0,0,0,0,0,0,5,5
6,3,4,0,0,0,0,0,0,6,6
7,4,4,0,0,0,0,0,0,7,7
8,5,5,0,0,0,0,0,0,8,8
9,5,5,0,0,0,0,0,0,9,9
10,6,6,0,0,0,0,0,0,10,10
11,7,6,0,0,0,0,0,0,11,11
12,7,7,0,0,0,0,0,0,12,12
13,7,7,0,0,0,0,0,0,13,14
14,8,7,0,0,0,0,0,0,15,15
15,8,8,0,0,0,0,0,0,16,16
16,8,8,0,0,0,0,0,0,17,17
17,9,8,0,0,0,0,0,0,18,18
18,9,8,0,0,0,0,0,0,19,19
19,9,9,0,0,1,0,0,0,20,21
20,9,9,0,0,1,0,0,0,22,23
21,9,9,0,0,1,0,0,0,24,25
22,10,10,0,0,1,0,0,0,26,27
23,10,10,0,0,1,0,0,0,27,29
24,11,10,0,0,1,0,0,0,28,31
25,12,11,0,0,1,0,0,0,29,33
26,12,11,0,0,1,0,0,0,30,35
27,13,12,0,0,1,0,0,0,31,37
28,14,12,0,0,1,0,0,0,32,38
29,14,12,0,0,1,0,0,0,33,39
30,14,13,0,0,1,0,0,0,34,40
31,15,14,0,0,1,0,0,0,35,42
32,16,15,0,0,1,0,0,0,36,44
33,16,16,0,0,1,0,0,0,37,46
34,17,16,0,0,1,0,0,0,38,47
35,17,17,0,0,1,0,0,0,39,48
36,18,18,0,0,1,0,0,0,40,49
37,19,19,0,0,1,0,0,0,42,50
38,19,19,0,0,1,0,0,0,45,52
39,19,19,0,0,1,0,0,0,47,53
40,20,20,0,0,1,0,0,0,49,54
41,20,21,0,0,1,0,0,0,51,55
42,21,21,0,0,1,0,0,0,53,56
43,21,22,0,0,1,0,0,0,55,57
44,22,22,0,0,1,0,0,0,57,58
45,22,23,0,0,1,0,0,0,58,59
46,22,23,0,0,1,0,0,0,59,61
47,23,23,0,0,1,0,0,0,60,63
48,23,24,0,0,1,0,0,0,62,65
49,24,24,0,0,1,0,0,0,64,66
50,24,25,0,0,1,0,0,0,66,67
51,25,25,0,0,1,0,0,0,68,68
52,25,26,0,0,1,0,0,0,70,69
53,25,26,0,0,1,0,0,0,72,71
54,26,26,0,0,1,0,0,0,74,73
55,26,27,0,0,1,0,0,0,76,75
56,26,27,0,0,1,0,0,0,78,77
57,27,27,0,0,1,1,0,0,80,79
58,27,27,0,0,1,1,0,0,83,82
59,27,28,0,0,1,1,0,0,86,85
60,28,29,0,0,1,1,0,0,89,88
61,29,30,0,0,1,1,0,0,92,89
62,30,31,0,0,1,1,0,0,93,90
63,30,32,0,0,1,1,0,0,94,91
64,31,33,0,0,1,1,0,0,95,92
65,32,33,0,0,1,1,0,0,96,95
66,33,34,0,0,1,1,0,0,97,98
67,33,34,0,0,1,1,0,0,98,101
68,34,35,0,0,1,1,0,0,99,104
69,34,35,0,0,1,1,0,0,100,107
70,34,35,0,0,1,1,0,0,101,110
71,34,35,0,0,1,1,0,0,102,113
72,34,35,0,0,1,1,0,0,103,116
73,34,35,0,0,1,1,0,0,104,119
74,35,35,0,0,1,1,0,0,105,122
75,36,35,0,0,1,1,0,0,106,125
76,37,35,0,0,1,1,0,0,107,128
77,37,35,0,0,1,1,0,0,108,131
78,38,35,0,0,1,1,0,0,109,134
79,39,35,0,0,1,1,0,0,110,137
80,40,35,0,0,1,1,0,0,111,140
81,41,35,0,0,1,1,0,0,114,143
82,42,35,0,0,1,1,0,0,117,146
83,43,35,0,0,1,1,0,0,120,149
84,44,35,0,0,1,1,0,0,121,152
85,45,35,0,0,1,1,0,0,122,155
86,46,35,0,0,1,1,0,0,123,158
87,47,35,0,0,1,1,0,0,124,161
88,47,35,0,0,1,1,0,0,127,164
89,48,35,0,0,1,1,0,0,130,167
90,48,35,0,0,1,1,0,0,133,170
91,49,35,0,0,1,1,0,0,136,173
