Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1
2,0,1,0,0,0,0,0,0,2,2
3,1,2,0,0,0,0,0,0,3,3
4,1,3,0,0,0,0,0,0,5,4
5,2,4,0,0,0,0,0,0,7,5
6,2,5,0,0,0,0,0,0,8,6
7,3,5,0,0,0,0,0,0,9,9
8,3,5,0,0,0,0,0,0,11,11
9,4,5,0,0,0,0,0,0,12,13
10,5,5,1,0,0,0,0,0,14,15
11,5,6,1,0,0,0,0,0,16,17
12,6,7,1,0,0,0,0,0,18,19
13,7,8,1,0,0,0,0,0,20,21
14,8,9,1,0,0,0,0,0,21,22
15,9,10,1,0,0,0,0,0,22,23
16,10,11,1,0,0,0,0,0,23,25
17,11,11,1,0,0,0,0,0,24,27
18,12,11,1,0,0,0,0,0,25,29
19,13,11,1,0,0,0,0,0,26,31
20,14,11,1,0,0,0,0,0,28,33
