Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1
2,0,1,0,0,0,0,0,0,2,2
3,1,2,0,0,0,0,0,0,3,3
4,1,3,0,0,0,0,0,0,5,4
5,2,4,0,0,0,0,0,0,7,5
6,2,5,0,0,0,0,0,0,9,6
7,3,5,1,0,0,0,0,0,11,9
8,3,6,1,0,0,0,0,0,14,11
9,4,7,1,0,0,0,0,0,16,13
10,5,8,1,0,0,0,0,0,18,15
11,6,9,1,0,0,0,0,0,19,16
12,7,10,1,0,0,0,0,0,20,17
13,8,11,1,0,0,0,0,0,21,19
14,9,11,1,0,0,0,0,0,22,21
15,10,11,1,0,0,0,0,0,23,23
16,11,11,1,0,0,0,0,0,24,25
17,12,11,1,0,0,0,0,0,26,27
