Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0
16,1,2,0,0,0,0,0,0,0,0
17,1,3,0,0,0,0,0,0,0,0
18,1,3,0,0,0,0,0,0,0,0
19,1,3,0,0,0,0,0,0,0,0
20,1,3,0,0,0,0,0,0,0,0
21,1,3,0,0,0,0,0,0,0,0
22,1,3,0,0,0,0,0,0,0,0
23,1,3,0,0,0,0,0,0,0,0
24,1,3,0,0,0,0,0,0,0,0
25,1,3,0,0,0,0,0,0,0,0
26,1,3,0,0,0,0,0,0,0,0
27,2,3,1,0,0,0,0,0,0,0
28,2,3,1,0,0,0,0,0,0,0
29,2,3,1,0,0,0,0,0,0,0
30,2,4,1,0,0,0,0,0,0,0
31,2,4,1,0,0,0,0,0,0,0
32,2,4,1,0,0,0,0,0,0,0
33,2,5,1,0,0,0,0,0,0,0
34,3,5,1,0,0,0,0,0,0,0
35,3,5,1,0,0,0,0,0,0,0
36,3,5,1,0,0,0,0,0,0,0
37,3,5,1,0,0,0,0,0,0,0
38,3,5,1,0,0,0,0,0,0,0
39,3,5,1,0,0,0,0,0,0,0
40,3,5,1,0,0,0,0,0,0,0
41,3,5,1,0,0,0,0,0,0,0
42,3,5,1,0,0,0,0,0,0,0
43,4,5,1,0,0,0,0,0,0,0
44,4,5,1,0,0,0,0,0,0,0
45,4,6,1,0,0,0,0,0,0,0
46,4,6,1,0,0,0,0,0,0,0
47,4,6,1,0,0,0,0,0,0,0
