Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0
4,1,1,0,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0
6,2,2,0,0,0,0,0,0,0,0
7,2,2,0,0,0,0,0,0,0,0
8,2,3,0,1,0,0,0,0,0,0
9,3,3,0,1,0,0,0,0,0,0
10,3,3,0,1,0,0,0,0,0,0
11,4,4,0,1,0,0,0,0,0,0
12,4,4,0,1,0,0,0,0,0,0
13,4,4,0,1,0,0,0,0,0,0
14,4,4,0,1,0,0,0,0,0,0
15,4,5,0,2,0,0,0,0,0,0
16,5,5,0,2,0,0,0,0,0,0
17,6,6,0,2,0,0,0,0,0,0
18,6,6,0,2,0,0,0,0,0,0
19,6,6,0,2,0,0,0,0,0,0
20,6,6,0,2,0,0,0,0,0,0
21,7,6,0,2,0,0,0,0,0,0
22,7,6,0,2,0,0,0,0,0,0
23,8,7,1,2,0,0,0,0,0,0
24,8,7,1,2,0,0,0,0,0,0
25,9,7,1,2,0,0,0,0,0,0
26,9,8,1,2,0,0,0,0,0,0
27,9,9,1,2,0,0,0,0,0,0
28,10,9,1,2,0,0,0,0,0,0
29,10,9,1,2,0,0,0,0,0,0
30,11,10,1,2,0,0,0,0,0,0
31,11,10,1,2,0,0,0,0,0,0
32,11,11,1,2,0,0,0,0,0,0
33,11,11,1,2,0,0,0,0,0,0
34,11,12,1,2,0,0,0,0,0,0
35,11,12,1,2,0,0,0,0,0,0
36,11,13,1,2,0,0,0,0,0,0
37,11,14,1,2,0,0,0,0,0,0
38,11,14,1,2,0,0,0,0,0,0
39,11,14,1,2,0,0,0,0,0,0
40,11,14,1,2,0,0,0,0,0,0
41,11,15,1,2,0,0,0,0,0,0
42,11,16,1,2,0,0,0,0,0,0
43,11,17,1,3,0,0,0,0,0,0
44,11,17,1,3,0,0,0,0,0,0
45,11,17,1,3,0,0,0,0,0,0
46,12,17,1,3,0,0,0,0,0,0
47,12,18,1,3,0,0,0,0,0,0
