Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,1
2,0,1,0,0,0,0,0,0,2,2
3,1,2,0,0,0,0,0,0,3,3
4,1,3,0,0,0,0,0,0,4,4
5,2,4,0,0,0,0,0,0,5,5
6,3,5,1,0,0,0,0,0,7,6
7,4,6,1,0,0,0,0,0,9,7
8,5,6,1,0,0,0,0,0,11,9
9,6,7,1,0,0,0,0,0,12,11
10,6,7,1,0,0,0,0,0,13,14
11,7,7,1,0,0,0,0,0,15,16
12,7,7,1,0,0,0,0,0,16,18
13,8,7,1,0,0,0,0,0,17,20
14,8,7,1,0,0,0,0,0,18,22
15,9,7,1,0,0,0,0,0,19,24
16,9,7,1,0,0,0,0,0,20,26
17,10,7,1,0,0,0,0,0,21,28
18,11,7,2,0,0,0,0,0,23,30
19,11,7,2,0,0,0,0,0,25,32
20,12,8,2,0,0,0,0,0,27,34
21,12,9,2,0,0,0,0,0,29,37
22,12,10,2,0,0,0,0,0,32,39
23,13,11,3,0,0,0,0,0,34,40
24,14,12,3,0,0,0,0,0,36,41
25,14,13,3,0,0,0,0,0,38,43
26,14,13,3,0,0,0,0,0,40,45
27,15,13,4,0,0,0,0,0,42,47
28,15,13,4,0,0,0,0,0,44,49
29,15,13,4,0,0,0,0,0,46,51
30,16,13,4,0,0,0,0,0,48,53
31,17,13,4,0,0,0,0,0,50,55
32,17,13,4,0,0,0,0,0,51,57
33,18,13,4,0,0,0,0,0,52,59
34,19,13,4,0,0,0,0,0,53,61
35,20,13,4,0,0,0,0,0,54,63
36,20,13,4,0,0,0,0,0,57,66
37,20,13,4,0,0,0,0,0,59,68
38,20,14,4,0,0,0,0,0,61,70
39,20,14,4,0,0,0,0,0,63,72
40,20,15,4,0,0,0,0,0,65,74
41,20,16,4,0,0,0,0,0,67,78
42,20,16,4,0,0,0,0,0,69,81
43,20,17,4,1,0,0,0,0,71,84
44,21,17,4,1,0,0,0,0,73,86
45,22,18,4,1,0,0,0,0,75,88
46,23,19,4,1,0,0,0,0,77,90
47,23,19,4,1,0,0,0,0,78,91
48,24,20,4,1,0,0,0,0,79,92
49,24,21,4,1,0,0,0,0,81,94
50,25,21,4,1,0,0,0,0,83,96
51,26,21,4,1,0,0,0,0,85,98
52,26,21,4,1,0,0,0,0,89,100
53,27,21,4,1,0,0,0,0,93,102
54,27,21,4,1,0,0,0,0,96,104
55,28,21,4,1,0,0,0,0,99,106
