Timestep,Steps - BLUE,Steps - ORANGE,Pressure Plates Activated - BLUE,Pressure Plates Activated - ORANGE,Blocks Placed - BLUE,Blocks Placed - ORANGE,Blocks Removed - BLUE,Blocks Removed - ORANGE,Messages Sent - BLUE,Messages Sent - ORANGE
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,0,0
7,1,1,0,0,0,0,0,0,0,0
8,1,1,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0
12,1,1,0,0,0,0,0,0,0,0
13,1,1,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0
15,1,1,0,0,0,0,0,0,0,0
16,1,1,0,0,0,0,0,0,0,0
17,1,1,0,0,0,0,0,0,0,0
18,2,1,0,0,0,0,0,0,0,0
19,2,1,0,0,0,0,0,0,0,0
20,3,1,0,0,0,0,0,0,0,0
21,4,2,0,0,0,0,0,0,0,0
22,4,2,0,0,0,0,0,0,0,0
23,4,2,0,0,0,0,0,0,0,0
24,4,2,0,0,0,0,0,0,0,0
25,4,2,0,0,0,0,0,0,0,0
26,4,2,0,0,0,0,0,0,0,0
27,4,2,0,0,0,0,0,0,0,0
28,5,3,0,0,0,0,0,0,0,0
29,6,3,0,0,0,0,0,0,0,0
30,6,3,0,0,0,0,0,0,0,0
31,7,3,0,0,0,0,0,0,0,0
32,7,3,0,0,0,0,0,0,0,0
33,7,3,0,0,0,0,0,0,0,0
34,7,3,0,0,0,0,0,0,0,0
35,7,3,0,0,0,0,0,0,0,0
36,7,4,0,0,0,0,0,0,0,0
37,7,4,0,0,0,0,0,0,0,0
38,8,4,0,0,0,0,0,0,0,0
39,9,4,0,0,0,0,0,0,0,0
40,9,4,0,0,0,0,0,0,0,0
41,9,4,0,0,0,0,0,0,0,0
42,10,5,1,0,0,0,0,0,0,0
43,10,6,1,0,0,0,0,0,0,0
44,10,6,1,0,0,0,0,0,0,0
45,10,6,1,0,0,0,0,0,0,0
46,10,6,1,0,0,0,0,0,0,0
47,11,7,1,1,0,0,0,0,0,0
